Title_amazon,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author_amazon,Number of Pages_amazon,Author_cleaned,source_URL,Readers Choice Votes,Readers Choice Category,Title_goodreads,Author_goodreads,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages_goodreads,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author,_merge
"The Wager: A Tale of Shipwreck, Mutiny and Murder",23,4.5,18320,17.84,Murder & Mayhem,Doubleday,Readerlink,David Grann,352.0,david grann,https://www.goodreads.com/book/show/61714633-the-wager?from_choice=true,40132.0,History & Biography,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.23,"55,307","5,845",329.0,Hardcover,"From the #1 New York Times bestselling author of Killers of the Flower Moon, a page-turning story of shipwreck, survival, and savagery, culminating in a court martial that reveals a shocking truth. The powerful narrative reveals the deeper meaning of the events on the Wager, showing that it was not only the captain and crew who ended up on trial, but the very idea of empire.On January 28, 1742, a ramshackle vessel of patched-together wood and cloth washed up on the coast of Brazil. Inside were thirty emaciated men, barely alive, and they had an extraordinary tale to tell. They were survivors of His Majesty's Ship the Wager, a British vessel that had left England in 1740 on a secret mission during an imperial war with Spain. While the Wager had been chasing a Spanish treasure-filled galleon known as ""the prize of all the oceans,"" it had wrecked on a desolate island off the coast of Patagonia. The men, after being marooned for months and facing starvation, built the flimsy craft and sailed for more than a hundred days, traversing nearly 3,000 miles of storm-wracked seas. They were greeted as heroes.But then . . . six months later, another, even more decrepit craft landed on the coast of Chile. This boat contained just three castaways, and they told a very different story. The thirty sailors who landed in Brazil were not heroes - they were mutineers. The first group responded with countercharges of their own, of a tyrannical and murderous senior officer and his henchmen. It became clear that while stranded on the island the crew had fallen into anarchy, with warring factions fighting for dominion over the barren wilderness. As accusations of treachery and murder flew, the Admiralty convened a court martial to determine who was telling the truth. The stakes were life-and-death--for whomever the court found guilty could hang.The Wager is a grand tale of human behavior at the extremes told by one of our greatest nonfiction writers. Grann's recreation of the hidden world on a British warship rivals the work of Patrick O'Brian, his portrayal of the castaways' desperate straits stands up to the classics of survival writing such as The Endurance, and his account of the court martial has the savvy of a Scott Turow thriller. As always with Grann's work, the incredible twists of the narrative hold the reader spellbound.",18-Apr-23,Kindle $14.99,14.99,"David Grann is the author of the #1 New York Times bestsellers 
   Killers of the Flower Moon
and   The Lost City of Z. Killers of the Flower Moon was a finalist for The National Book Award and won an Edgar Allan Poe Award. Look for David Grann’s latest book, The Wager, coming soon!He is also the author of   The White Darkness and the collection  The Devil and Sherlock Holmes . Grann's storytelling has garnered several honors, including a George Polk Award. He lives with his wife and children in New York.",both
Haunting Adeline (Cat and Mouse Duet),24,4.4,73892,13.0,Occult,Independently published,,H. D. Carlton,607.0,h. d. carlton,,,,,,,,,,,,,,,,left_only
Heartstopper #5: A Graphic Novel,25,4.8,1176,11.64,Graphic Novels,Graphix,,Alice Oseman,336.0,alice oseman,,,,,,,,,,,,,,,,left_only
Outlive: The Science and Art of Longevity,26,4.6,9939,16.0,Self-Help,Harmony,,Peter Attia MD,496.0,peter attia md,,,,,,,,,,,,,,,,left_only
"Fourth Wing (Special Edition) (The Empyrean, 1)",27,4.4,2279,19.98,Fantasy,Entangled: Red Tower Books,,Rebecca Yarros,528.0,rebecca yarros,https://www.goodreads.com/book/show/127152907-in-the-likely-event?from_choice=true,8421.0,Romance,In the Likely Event,Rebecca Yarros,4.25,"61,109","5,158",348.0,Kindle Edition,"When Izzy Astor gets on a plane to go home, she isn’t expecting much. It’s the usual holiday travel experience: busy, crowded, stressful.Then she spots her seatmate, who is anything but ordinary. Nate Phelan sports dark hair, blue eyes, and a deliciously rugged charm that Izzy can’t resist. Their connection is undeniable. Izzy never believed in destiny before, but she does now.Just ninety seconds after takeoff, their plane goes down in the Missouri River.Their lives change. They change. Nate goes on to a career in the military while Izzy finds her way into politics. Despite a few chance encounters over the years, the timing never feels right.Then comes a high-stakes reunion in Afghanistan, where Nate is tasked with protecting Izzy’s life.He’ll do anything to keep her safe. And everything to win her heart.",1-Aug-23,Kindle Unlimited $0.00,0.0,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
"Fourth Wing (Special Edition) (The Empyrean, 1)",27,4.4,2279,19.98,Fantasy,Entangled: Red Tower Books,,Rebecca Yarros,528.0,rebecca yarros,https://www.goodreads.com/book/show/61431922-fourth-wing?from_choice=true,397565.0,Romantasy,Fourth Wing,Rebecca Yarros,4.62,"930,928","141,668",500.0,Hardcover,"Enter the brutal and elite world of a war college for dragon riders from USA Today bestselling author Rebecca YarrosTwenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding general—also known as her tough-as-talons mother—has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders.But when you’re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons don’t bond to “fragile” humans. They incinerate them.With fewer dragons willing to bond than cadets, most would kill Violet to better their own chances of success. The rest would kill her just for being her mother’s daughter—like Xaden Riorson, the most powerful and ruthless wingleader in the Riders Quadrant.She’ll need every edge her wits can give her just to see the next sunrise.Yet, with every day that passes, the war outside grows more deadly, the kingdom's protective wards are failing, and the death toll continues to rise. Even worse, Violet begins to suspect leadership is hiding a terrible secret.Friends, enemies, lovers. Everyone at Basgiath War College has an agenda—because once you enter, there are only two ways out: graduate or die",2-May-23,Kindle $14.99,14.99,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,28,4.4,65158,9.11,Murder & Mayhem,Vintage,Vintage,David Grann,416.0,david grann,https://www.goodreads.com/book/show/61714633-the-wager?from_choice=true,40132.0,History & Biography,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.23,"55,307","5,845",329.0,Hardcover,"From the #1 New York Times bestselling author of Killers of the Flower Moon, a page-turning story of shipwreck, survival, and savagery, culminating in a court martial that reveals a shocking truth. The powerful narrative reveals the deeper meaning of the events on the Wager, showing that it was not only the captain and crew who ended up on trial, but the very idea of empire.On January 28, 1742, a ramshackle vessel of patched-together wood and cloth washed up on the coast of Brazil. Inside were thirty emaciated men, barely alive, and they had an extraordinary tale to tell. They were survivors of His Majesty's Ship the Wager, a British vessel that had left England in 1740 on a secret mission during an imperial war with Spain. While the Wager had been chasing a Spanish treasure-filled galleon known as ""the prize of all the oceans,"" it had wrecked on a desolate island off the coast of Patagonia. The men, after being marooned for months and facing starvation, built the flimsy craft and sailed for more than a hundred days, traversing nearly 3,000 miles of storm-wracked seas. They were greeted as heroes.But then . . . six months later, another, even more decrepit craft landed on the coast of Chile. This boat contained just three castaways, and they told a very different story. The thirty sailors who landed in Brazil were not heroes - they were mutineers. The first group responded with countercharges of their own, of a tyrannical and murderous senior officer and his henchmen. It became clear that while stranded on the island the crew had fallen into anarchy, with warring factions fighting for dominion over the barren wilderness. As accusations of treachery and murder flew, the Admiralty convened a court martial to determine who was telling the truth. The stakes were life-and-death--for whomever the court found guilty could hang.The Wager is a grand tale of human behavior at the extremes told by one of our greatest nonfiction writers. Grann's recreation of the hidden world on a British warship rivals the work of Patrick O'Brian, his portrayal of the castaways' desperate straits stands up to the classics of survival writing such as The Endurance, and his account of the court martial has the savvy of a Scott Turow thriller. As always with Grann's work, the incredible twists of the narrative hold the reader spellbound.",18-Apr-23,Kindle $14.99,14.99,"David Grann is the author of the #1 New York Times bestsellers 
   Killers of the Flower Moon
and   The Lost City of Z. Killers of the Flower Moon was a finalist for The National Book Award and won an Edgar Allan Poe Award. Look for David Grann’s latest book, The Wager, coming soon!He is also the author of   The White Darkness and the collection  The Devil and Sherlock Holmes . Grann's storytelling has garnered several honors, including a George Polk Award. He lives with his wife and children in New York.",both
The Woman in Me,29,4.4,29923,19.2,Actors & Entertainers,Gallery Books,Britney Spears,Britney Spears,288.0,britney spears,https://www.goodreads.com/book/show/63133205-the-woman-in-me?from_choice=true,132867.0,Memoir & Autobiography,The Woman in Me,Britney Spears,4.05,"215,178","26,056",277.0,Hardcover,"The Woman in Me is a brave and astonishingly moving story about freedom, fame, motherhood, survival, faith, and hope.In June 2021, the whole world was listening as Britney Spears spoke in open court. The impact of sharing her voice—her truth—was undeniable, and it changed the course of her life and the lives of countless others. The Woman in Me reveals for the first time her incredible journey—and the strength at the core of one of the greatest performers in pop music history. Written with remarkable candor and humor, Spears’s groundbreaking book illuminates the enduring power of music and love—and the importance of a woman telling her own story, on her own terms, at last.",24-Oct-23,Kindle $16.99,16.99,"Britney Jean Spears (born December 2, 1981) is an American singer, dancer, songwriter, actress and author. She has sold over 83 million records worldwide according to Zomba Label Group. The RIAA ranks her as the eighth best-selling female artist in American music history, having sold 32 million albums in the U.S. Her success as a recording artist has allowed her to work in other media; she has acted in film and television, has written two books, and has been contracted to endorse several products, including her own perfume line.Spears released her debut album ...Baby One More Time in 1999, propelling her to international stardom. It spawned the Billboard topping single ""…Baby One More Time"". She released her second studio album Oops!… I Did It Again in 2000 with continued success. A third album Britney was released in 2001, followed by the release of her fourth album In the Zone in 2003. The album's breakout single ""Toxic"" won Spears her first Grammy Award. After the release of a remix album/greatest hits collection, she released her fifth album Blackout in 2007.As a result of her fame, Spears's personal life has received much media attention. This only escalated after her marriage to Kevin Federline in 2004. She gave birth to her first child, Sean Preston, in 2005 and to her second child, Jayden James, in 2006. The couple's divorce in November of the same year was highly publicized, followed by an ongoing custody battle over their sons.",both
Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,30,4.9,7063,17.66,Cakes,DK,SPA SERENITY,B. Dylan Hollis,256.0,b. dylan hollis,,,,,,,,,,,,,,,,left_only
Taylor Swift: A Little Golden Book Biography,31,4.9,5363,4.78,Popular,Golden Books,LINGKU,Wendy Loggia,24.0,wendy loggia,,,,,,,,,,,,,,,,left_only
